Pathway,P_Omnibus_Kruskal,P_NonIBD_vs_CD,P_NonIBD_vs_UC,Mean_NonIBD,Mean_CD,Mean_UC,FDR_Omnibus,FDR_CD,FDR_UC,Status
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),2.58165983633679e-17,5.00542926617558e-18,2.71893176895457e-07,514.301688,469.348480794702,471.772998425197,6.23570145084425e-16,1.74633865508793e-16,2.37151270958815e-06,Depleted_in_UC
PWY-6936: seleno-amino acid biosynthesis,1.25569400316926e-05,0.00170190052314675,2.69733668645227e-06,272.700708266667,298.582204950331,314.864856692913,4.72705868697551e-05,0.00351576818597421,2.28909113390814e-05,Enriched_in_UC
GLUDEG-I-PWY: GABA shunt,2.93126219711697e-05,0.00678258771981945,3.97363826683898e-06,15.4281965413333,14.3727826059603,10.238233687664,9.89694978381429e-05,0.0118928505760733,3.19928824560882e-05,Depleted_in_UC
PWY-7221: guanosine ribonucleotides de novo biosynthesis,4.72586862122951e-15,5.20494562927285e-16,3.93400682226728e-06,525.207013333333,484.848758278146,485.455122047244,7.41961373533033e-14,1.08956861839445e-14,3.19928824560882e-05,Depleted_in_UC
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,3.59355869555815e-08,1.31089607110241e-08,7.8796589040769e-06,8.81124090666667,20.4891472682119,13.375655839895,1.84979906623813e-07,8.57544513179492e-08,5.89098308542892e-05,Enriched_in_UC
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),1.98670938592955e-05,0.000375159500092661,7.57395180943658e-06,148.3285152,131.635611357616,122.852335958005,7.00928929417841e-05,0.000942400664232765,5.89098308542892e-05,Depleted_in_UC
PWY-6612: superpathway of tetrahydrofolate biosynthesis,3.44875665293002e-08,1.24517160731655e-08,7.7556334576533e-06,6.20690508533333,15.2589498807947,9.49445785826772,1.80484931503338e-07,8.49964966733471e-08,5.89098308542892e-05,Enriched_in_UC
PWY-6608: guanosine nucleotides degradation III,1.27600434373787e-08,5.02391995479853e-09,8.11491816885951e-06,83.2487489333333,111.989003096026,94.6035316010499,7.28482479879438e-08,3.84758747757741e-08,5.92577745353927e-05,Enriched_in_UC
METHGLYUT-PWY: superpathway of methylglyoxal degradation,1.84883503714954e-07,1.28953383039708e-07,8.60150510234186e-06,8.745455104,16.9361539586093,14.375666824147,8.8159058540238e-07,8.26354332132008e-07,6.13834682303487e-05,Enriched_in_UC
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",7.42745917876993e-09,1.55473309981322e-09,1.18008890616927e-05,3.46379104,7.4685926192053,4.94606569553806,4.41908170232168e-08,1.31942214416581e-08,8.06985280049057e-05,Enriched_in_UC
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),4.96657211585614e-13,3.92812589755011e-14,1.18220773510371e-05,496.407181333333,459.141497516556,458.441495538058,5.99809093991856e-12,5.91153440878482e-13,8.06985280049057e-05,Depleted_in_UC
PWY-6595: superpathway of guanosine nucleotides degradation (plants),8.62133628449219e-05,0.0117221660438433,1.40600000001878e-05,6.73932594933333,7.75366787913907,4.96433238845144,0.000260298037820245,0.0194749213638455,9.39327659587018e-05,Depleted_in_UC
PWY-5676: acetyl-CoA fermentation to butanoate II,0.000174614751346724,0.0593374132598645,1.59279364849346e-05,26.0221856986667,32.8468873493378,34.1274761102362,0.00045577747699795,0.0813622173082858,0.000104195251172281,Enriched_in_UC
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,5.74927413648999e-13,0.00597368650596001,1.87210428640624e-05,40.3436128533333,48.1784765397351,30.6287437795276,6.68619288465873e-12,0.0105378514768059,0.000119967499169706,Depleted_in_UC
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis,9.80433131040908e-05,0.00513585733376563,2.22086354823152e-05,450.674890666667,428.384972019868,411.139808923885,0.000290430191647967,0.00932172949596767,0.000139470230828939,Depleted_in_UC
PWY-4981: L-proline biosynthesis II (from arginine),0.00017398066063989,0.0811665438678511,3.37611320610736e-05,104.706083546667,111.65026602649,122.802641548556,0.00045577747699795,0.108915789634638,0.000207862656219159,Enriched_in_UC
